date,chain,deposit_usd,withdraw_usd,netflow_usd
2024-08-13,Solana,14396870.048796441,10693359.900131032,3703510.1486654095
2024-08-14,Solana,3580005.1295088707,3517622.8266500644,62382.302858806215
2024-08-15,Solana,4024643.292947359,3428296.38876254,596346.9041848187
2024-08-16,Solana,12700685.357983956,3121317.3099077507,9579368.048076205
2024-08-17,Solana,982489.3159773846,1450189.148235268,-467699.8322578834
2024-08-18,Solana,3059144.69524284,2874620.596787602,184524.0984552377
2024-08-19,Solana,2007844.2723763704,2277121.4016141817,-269277.1292378113
2024-08-20,Solana,2829749.6343239085,3410072.9348611734,-580323.3005372649
2024-08-21,Solana,21092160.195307888,2864853.692482996,18227306.50282489
2024-08-22,Solana,33379400.52780963,1565549.380128769,31813851.147680864
2024-08-23,Solana,22063998.00527606,6042102.494718505,16021895.510557557
2024-08-24,Solana,3305013.694767957,6728383.482768048,-3423369.7880000905
2024-08-25,Solana,2469651.8735849275,2724350.6468298286,-254698.7732449011
2024-08-26,Solana,3360922.752063927,81393850.0473703,-78032927.29530637
2024-08-27,Solana,49000647.89953068,3178716.07490692,45821931.824623756
2024-08-28,Solana,3599145.9142473387,19418695.18208148,-15819549.267834142
2024-08-29,Solana,3596297.9914416606,4502575.374590047,-906277.3831483861
2024-08-30,Solana,3122385.3537989818,4189231.9793565017,-1066846.62555752
2024-08-31,Solana,1211235.1065973686,2245279.6187489596,-1034044.512151591
2024-09-01,Solana,49176283.348682135,1990555.9603116168,47185727.38837052
2024-09-02,Solana,22456607.489475437,1961316.1845487033,20495291.304926734
2024-09-03,Solana,2319496.5514541822,2692705.7403048514,-373209.1888506692
2024-09-04,Solana,3746594.2445191033,2780299.125035679,966295.1194834244
2024-09-05,Solana,13470576.278340558,2354178.030742798,11116398.24759776
2024-09-06,Solana,2299213.8092530644,2656318.747541966,-357104.93828890147
2024-09-07,Solana,26484300.76614859,2063263.6223565103,24421037.143792078
2024-09-08,Solana,1040853.3130441784,3367120.784620557,-2326267.4715763787
2024-09-09,Solana,963517.9051747703,1621031.2002452891,-657513.2950705189
2024-09-10,Solana,2140122.9369792165,2155124.382794292,-15001.445815075655
2024-09-11,Solana,2066775.225122638,2149349.9177709175,-82574.69264827948
2024-09-12,Solana,1706961.8814560939,2592339.684503753,-885377.8030476593
2024-09-13,Solana,2558572.0760569046,19231657.289848167,-16673085.213791262
2024-09-14,Solana,2579153.970497966,18376609.27575218,-15797455.305254214
2024-09-15,Solana,2120603.5380769176,3400533.418451278,-1279929.8803743604
2024-09-16,Solana,49761930.889781535,2236249.2392566735,47525681.65052486
2024-09-17,Solana,4892058.815363741,3662468.5421326216,1229590.273231119
2024-09-18,Solana,4087758.6219240176,3656530.1539730276,431228.46795098996
2024-09-19,Solana,19867612.464138296,8201073.223645643,11666539.240492653
2024-09-20,Solana,2441837.6816953924,27990847.240874946,-25549009.559179552
2024-09-21,Solana,51567686.2813256,3524483.478210007,48043202.80311559
2024-09-22,Solana,3348879.743261774,2877235.393416823,471644.3498449512
2024-09-23,Solana,4867839.53442182,113469496.22903974,-108601656.69461793
2024-09-24,Solana,2747287.657014797,5598958.100820285,-2851670.4438054883
2024-09-25,Solana,2717582.941064215,14171851.886990642,-11454268.945926428
2024-09-26,Solana,3500707.1852781787,6966113.615875899,-3465406.43059772
2024-09-27,Solana,4181020.557455307,6510013.077878176,-2328992.5204228694
2024-09-28,Solana,2620178.0,4980790.0,-2360612.0
2024-09-29,Solana,2132576.0,5795398.0,-3662822.0
2024-09-30,Solana,3326722.0,4060129.0,-733407.0
2024-10-01,Solana,3759560.0,5806813.0,-2047253.0
2024-10-02,Solana,2373298.0,3791891.0,-1418593.0
2024-10-03,Solana,3072031.0,5432896.0,-2360865.0
2024-10-04,Solana,1850109.0,2617671.0,-767562.0
2024-10-05,Solana,1828547.0,2373679.0,-545132.0
2024-10-06,Solana,2023280.0,3402816.0,-1379536.0
