asset,date,price_usd,market_cap,volume_24h
bitcoin,2024-07-24,65376.0,,1526490826.4669967
bitcoin,2024-07-25,65799.95,,2266419771.224864
bitcoin,2024-07-26,67907.99,,1630839588.6966548
bitcoin,2024-07-27,67896.5,,2162335067.0234175
bitcoin,2024-07-28,68249.88,,736755676.1377451
bitcoin,2024-07-29,66784.69,,2499265962.091455
bitcoin,2024-07-30,66188.0,,1533270724.799421
bitcoin,2024-07-31,64628.0,,1489443332.5960116
bitcoin,2024-08-01,65354.02,,2270877792.65868
bitcoin,2024-08-02,61498.33,,2469588785.6981573
bitcoin,2024-08-03,60697.99,,1711555901.18011
bitcoin,2024-08-04,58161.0,,1874490041.5437353
bitcoin,2024-08-05,54018.81,,8580928177.429901
bitcoin,2024-08-06,56022.01,,3119018848.329888
bitcoin,2024-08-07,55134.16,,2490553853.602583
bitcoin,2024-08-08,61685.99,,2836312292.431818
bitcoin,2024-08-09,60837.99,,1878350555.5122633
bitcoin,2024-08-10,60923.51,,607372221.2460397
bitcoin,2024-08-11,58712.59,,1152081498.1567774
bitcoin,2024-08-12,59346.64,,2186851067.316586
bitcoin,2024-08-13,60587.15,,1668247896.8477187
bitcoin,2024-08-14,58683.39,,1705464263.505865
bitcoin,2024-08-15,57541.06,,2194915865.052229
bitcoin,2024-08-16,58874.6,,1614654900.3332715
bitcoin,2024-08-17,59491.99,,457737705.7722839
bitcoin,2024-08-18,58427.35,,813166580.7264851
bitcoin,2024-08-19,59438.5,,1336287900.197634
bitcoin,2024-08-20,59013.8,,1890620149.7910202
bitcoin,2024-08-21,61156.03,,1682529555.0960546
bitcoin,2024-08-22,60375.84,,1288544247.9560175
bitcoin,2024-08-23,64037.24,,2375916932.7935486
bitcoin,2024-08-24,64157.01,,1015774255.1740764
bitcoin,2024-08-25,64220.0,,789935122.9930242
bitcoin,2024-08-26,62834.0,,1238341818.4320166
bitcoin,2024-08-27,59415.0,,2158144642.992993
bitcoin,2024-08-28,59034.9,,2183054412.974087
bitcoin,2024-08-29,59359.01,,1617931684.258576
bitcoin,2024-08-30,59123.99,,1680918972.4658496
bitcoin,2024-08-31,58973.99,,519849184.8690446
bitcoin,2024-09-01,57301.86,,1202176847.3910584
bitcoin,2024-09-02,59132.13,,1333092369.4465685
bitcoin,2024-09-03,57487.73,,1335076815.8599248
bitcoin,2024-09-04,57970.9,,2027630870.1796753
bitcoin,2024-09-05,56180.0,,1577770853.1007974
bitcoin,2024-09-06,53962.97,,2988914918.924334
bitcoin,2024-09-07,54160.86,,905693342.5898322
bitcoin,2024-09-08,54869.95,,885743172.9184759
bitcoin,2024-09-09,57042.0,,1809715390.0493293
bitcoin,2024-09-10,57635.99,,1349365460.0900571
bitcoin,2024-09-11,57338.0,,1875738697.3784153
bitcoin,2024-09-12,58132.32,,1802848638.0757017
bitcoin,2024-09-13,60498.0,,1760671733.5492997
bitcoin,2024-09-14,59993.03,,728527024.3416963
bitcoin,2024-09-15,59132.0,,822410872.3906956
bitcoin,2024-09-16,58213.99,,1543273198.7027452
bitcoin,2024-09-17,60313.99,,1983378424.775704
bitcoin,2024-09-18,61759.99,,2174000496.820776
bitcoin,2024-09-19,62947.99,,2153175931.1738715
bitcoin,2024-09-20,63201.05,,1611195963.9908044
bitcoin,2024-09-21,63348.96,,528657852.3183024
bitcoin,2024-09-22,63578.76,,897477338.3735127
bitcoin,2024-09-23,63339.99,,1531015038.3680267
bitcoin,2024-09-24,64262.7,,1472720338.8562915
bitcoin,2024-09-25,63152.01,,1135250828.2732148
bitcoin,2024-09-26,65173.99,,1831204595.9448967
bitcoin,2024-09-27,65769.95,,1448852210.3602211
bitcoin,2024-09-28,65858.0,,600118483.1222521
bitcoin,2024-09-29,65602.01,,547980013.7152303
bitcoin,2024-09-30,63327.59,,1920250261.7442162
bitcoin,2024-10-01,60805.78,,2723672081.8326254
bitcoin,2024-10-02,60649.28,,1928377637.836784
bitcoin,2024-10-03,60752.71,,1590773866.8074434
bitcoin,2024-10-04,62086.0,,1311145630.5020497
bitcoin,2024-10-05,62058.0,,484588468.3419123
bitcoin,2024-10-06,62819.91,,555669634.4773514
bitcoin,2024-10-07,62224.0,,1646315506.5791945
bitcoin,2024-10-08,62160.49,,1230076253.818657
bitcoin,2024-10-09,60636.02,,1234778807.5932417
bitcoin,2024-10-10,60326.39,,1445604381.9363792
bitcoin,2024-10-11,62540.0,,1462219576.849865
bitcoin,2024-10-12,63206.22,,686978508.9887543
bitcoin,2024-10-13,62870.02,,746564374.2082387
bitcoin,2024-10-14,66083.99,,2450094472.813545
bitcoin,2024-10-15,67074.14,,2894021862.319518
bitcoin,2024-10-16,67620.01,,2024560410.1062675
bitcoin,2024-10-17,67421.78,,1702164439.5654595
bitcoin,2024-10-18,68428.0,,1959735899.8769643
bitcoin,2024-10-19,68378.0,,559628628.9613105
bitcoin,2024-10-20,69031.99,,854082429.8105861
bitcoin,2024-10-21,67377.5,,2130833593.5466976
bitcoin,2024-10-22,67426.0,,1654285791.6605556
bitcoin,2024-10-23,66668.65,,1695101430.9187467
bitcoin,2024-10-24,68198.28,,1526736320.912938
bitcoin,2024-10-25,66698.33,,2320667435.293254
bitcoin,2024-10-26,67092.76,,792887047.147892
bitcoin,2024-10-27,68021.7,,585006148.4704809
bitcoin,2024-10-28,69962.21,,2005105729.8174448
bitcoin,2024-10-29,72736.42,,3602465986.8917575
bitcoin,2024-10-30,72344.74,,1941210537.2882867
bitcoin,2024-10-31,70292.01,,2091144977.4946847
bitcoin,2024-11-01,69496.01,,2677358022.00497
bitcoin,2024-11-02,69374.74,,731232427.6311548
