anchor,month_end,N_anchor,sigma_offpeg,mean_offpeg,tail1,tail2,dlog_usd_per_anchor,Pol_anchor,cum_events,policy_stage,ban_dummy,any_impulse,Pol_anchor_l1,sigma_offpeg_l1,mean_offpeg_l1,tail1_l1,tail2_l1,N_anchor_l1,cum_events_l1,policy_stage_l1,ban_dummy_l1
GBP,2025-10-31,2,1.4903579340685604,0.49425976494676277,1.0,1.0,-0.02540008963619056,2.0,2.0,2.0,0,0.0,2.0,20.651539971837902,13.413224067138541,1.0,1.0,2.0,2.0,2.0,0.0
GBP,2025-11-30,2,2.4485932664841252,2.895545755620394,1.0,1.0,-0.0030827028625395325,2.0,2.0,2.0,0,0.0,2.0,1.4903579340685604,0.49425976494676277,1.0,1.0,2.0,2.0,2.0,0.0
JPY,2024-11-30,2,2.3850499616080842,-2.7059955630722503,1.0,1.0,0.01730850820834995,3.0,1.0,3.0,0,0.0,,,,,,,,,
JPY,2024-12-31,2,3.21470245617531,-3.8549083737794945,1.0,1.0,-0.043995847219576945,3.0,1.0,3.0,0,0.0,3.0,2.3850499616080842,-2.7059955630722503,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-01-31,2,2.6177565454284792,-4.580776879996539,1.0,1.0,0.013160928498448854,3.0,1.0,3.0,0,0.0,3.0,3.21470245617531,-3.8549083737794945,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-02-28,2,6.0637881958160955,-7.121163883995008,1.0,1.0,0.027081692323475792,3.0,1.0,3.0,0,0.0,3.0,2.6177565454284792,-4.580776879996539,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-03-31,2,7.870830313402466,-9.370607695482605,1.0,1.0,0.008937969642478727,3.0,1.0,3.0,0,0.0,3.0,6.0637881958160955,-7.121163883995008,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-04-30,2,7.628213362972189,-9.993568012889165,1.0,1.0,0.04364713084524752,3.0,1.0,3.0,0,0.0,3.0,7.870830313402466,-9.370607695482605,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-05-31,2,11.084392911608134,-11.716677885808963,1.0,1.0,-0.004713705092131981,3.0,1.0,3.0,0,0.0,3.0,7.628213362972189,-9.993568012889165,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-06-30,2,7.355068919521557,-14.524993295180845,1.0,1.0,-0.004350681409481361,3.0,1.0,3.0,0,0.0,3.0,11.084392911608134,-11.716677885808963,1.0,1.0,2.0,1.0,3.0,0.0
